,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
225,225,0.09537934130198902,0.0001408102512051961,0.055538054948845936,10.0,11.0,1536.0
226,226,0.09537934130198902,0.00010272430081934021,0.05631666271880377,11.2,11.8,1542.6
227,227,0.0979635189058371,0.00018670827586019537,0.05838384214737798,9.2,14.2,1547.2
228,228,0.0979635189058371,0.00015682587549961272,0.053978062457556694,10.0,11.8,1553.8
229,229,0.09537934130198902,6.516483902097923e-05,0.05474630220739067,9.4,10.4,1561.8
230,230,0.0922374224431159,0.00017906711956311582,0.05103744520287974,7.8,11.8,1568.8
231,231,0.0922374224431159,0.00017906711956311582,0.05282621394492095,9.2,12.8,1575.2
232,232,0.0922374224431159,0.00013818015306500602,0.053074159051755124,7.4,13.4,1580.2
233,233,0.09738425226171102,0.00017906711956311582,0.05543316613147402,9.0,11.0,1586.4
234,234,0.0922374224431159,0.00016150156154188855,0.056298459901683404,10.6,11.8,1593.0
235,235,0.09537934130198902,8.821978428667211e-05,0.05506188107334705,9.6,13.6,1598.6
236,236,0.09537934130198902,0.00010169962945091683,0.05542977302821721,9.6,12.0,1605.4
237,237,0.09537934130198902,0.00018502967090606878,0.052335144314737646,8.8,11.0,1613.2
238,238,0.09537934130198902,0.00015392343727761116,0.0571414306789948,10.0,13.2,1617.6
239,239,0.09537934130198902,0.00018322638323492783,0.05398074059203454,11.6,12.8,1624.0
240,240,0.0979635189058371,0.00014845140750227565,0.054188729602377396,11.8,12.8,1629.6
241,241,0.09568451086498651,0.00015631776859954165,0.051511488484011915,9.4,11.8,1636.6
242,242,0.10035389452877438,9.769395544384156e-05,0.0528097467304174,10.2,11.6,1643.4
243,243,0.10035389452877438,0.00018670827586019537,0.05231538247255034,7.8,10.4,1652.2
244,244,0.1034958133876475,0.00017463135602779805,0.05516012202847849,8.2,11.8,1659.6
245,245,0.10035389452877438,0.0001861291505037032,0.05828398836566875,9.8,12.0,1666.4
246,246,0.10035389452877438,0.00018123624608485988,0.06291549925369087,12.4,13.2,1672.0
247,247,0.10035389452877438,0.00015224483232348455,0.06612872378554771,13.6,14.8,1677.2
248,248,0.10035389452877438,0.00018670827586019537,0.06502543578059441,13.4,12.8,1681.6
249,249,0.10035389452877438,0.0001119026552617223,0.06633198872363145,12.4,15.2,1685.2
250,250,0.10035389452877438,0.00010641935932511632,0.06687720490794748,14.6,13.4,1690.2
